source,target,code
/1-dead-1-injured-robbers-try-mess-70-year-old-vietnam-veteran/,/military-life/1-dead-1-injured-robbers-try-mess-70-year-old-vietnam-veteran/,301
/10-facts-generation-kill-make-us-love-series-even/,/culture/10-facts-generation-kill-make-us-love-series-even/,301
/10-facts-generation-kill-make-us-love-series-even/,/culture/10-facts-generation-kill-make-us-love-series-even/,301
/10-greatest-tweets-93-year-old-airman-chuck-yeager/,/news/10-greatest-tweets-93-year-old-airman-chuck-yeager/,301
/10-leadership-lessons-one-britains-greatest-soldiers/,/history/10-leadership-lessons-one-britains-greatest-soldiers/,301
/10-medical-advancements-from-the-iraq-and-afghanistan-wars/,/tech-tactics/10-medical-advancements-from-the-iraq-and-afghanistan-wars/,301
/10-military-phrases-that-require-more-effort-to-say-than-their-actual-meaning/,/culture/10-military-phrases-that-require-more-effort-to-say-than-their-actual-meaning/,301
/10-must-read-books-women-military/,/culture/10-must-read-books-women-military/,301
/10-myths-about-traumatic-brain-injury/,/military-life/10-myths-about-traumatic-brain-injury/,301
/10-questions-veteran-ask-rudy-reyes/,/culture/10-questions-veteran-ask-rudy-reyes/,301
/10-things-didnt-know-inglourious-basterds/,/culture/10-things-didnt-know-inglourious-basterds/,301
/10-things-james-mattis-secdef-profile/,/news/10-things-james-mattis-secdef-profile/,301
/10-things-need-understand-military-millennials/,/news/10-things-need-understand-military-millennials/,301
/10-things-never-knew-band-brothers/,/culture/10-things-never-knew-band-brothers/,301
/10-things-never-knew-band-brothers/,/culture/10-things-never-knew-band-brothers/,301
/10-things-probably-never-knew-full-metal-jacket/,/culture/10-things-probably-never-knew-full-metal-jacket/,301
/10-things-you-never-knew-about-saving-private-ryan/,/culture/10-things-you-never-knew-about-saving-private-ryan/,301
/10-things-you-probably-never-knew-about-apocalypse-now/,/culture/10-things-you-probably-never-knew-about-apocalypse-now/,301
/10-tips-on-raising-resilient-kids-from-an-al-qaeda-fighting-navy-seal/,/news/10-tips-on-raising-resilient-kids-from-an-al-qaeda-fighting-navy-seal/,301
/10-works-fiction-every-service-member-read/,/news/10-works-fiction-every-service-member-read/,301
/10-works-fiction-every-service-member-read/,/news/10-works-fiction-every-service-member-read/,301
/1000-evacuees-military-bases/,/news/1000-evacuees-military-bases/,301
/1000-strangers-attend-funeral-for-marine-vet-with-no-family/,/news/1000-strangers-attend-funeral-for-marine-vet-with-no-family/,301
/11-military-drone-names-ranked/,/tech-tactics/11-military-drone-names-ranked/,301
/117-years-later-the-sinking-of-the-uss-maine-remains-a-mystery/,/news/117-years-later-the-sinking-of-the-uss-maine-remains-a-mystery/,301
/12-tips-surviving-pentagon-post/,/news/12-tips-surviving-pentagon-post/,301
/13-years-death-pat-tillman-returns-alma-mater/,/news/13-years-death-pat-tillman-returns-alma-mater/,301
/15-reasons-coast-guard-pretty-freakin-cool/,/news/15-reasons-coast-guard-pretty-freakin-cool/,301
/15-things-pogs-will-understand/,/culture/15-things-pogs-will-understand/,301
/15-years-war-need-hard-look-mirror/,/news/15-years-war-need-hard-look-mirror/,301
/1517-paris-train-attack-french-citizenship/,/news/1517-paris-train-attack-french-citizenship/,301
/17-indispensable-leadership-quotes-post-911-generals/,/news/17-indispensable-leadership-quotes-post-911-generals/,301
/17-things-that-real-leaders-never-say/,/news/17-things-that-real-leaders-never-say/,301
/17-tyndall-f-22-raptors-damaged/,/tech-tactics/17-tyndall-f-22-raptors-damaged/,301
/1911-pistol-history-american-troops/,/tech-tactics/1911-pistol-history-american-troops/,301
/1911-pistol-history-american-troops/,/tech-tactics/1911-pistol-history-american-troops/,301
/1917-world-war-i-movie-review/,/culture/1917-world-war-i-movie-review/,301
/2-companies-managing-vas-private-care-vets-suspected-skimming-millions/,/news/2-companies-managing-vas-private-care-vets-suspected-skimming-millions/,301
/2-dead-at-offutt-air-force-base-housing/,/news/2-dead-at-offutt-air-force-base-housing/,301
/2-major-obstacles-are-limiting-future-officers-who-attend-armys-cadet-leadership-course/,/news/2-major-obstacles-are-limiting-future-officers-who-attend-armys-cadet-leadership-course/,301
/20-veterans-died-suicide-day-2014/,/military-life/20-veterans-died-suicide-day-2014/,301
/200-soldiers-to-fight-wildfires/,,410
/2017-tough-veterans-organizations-heres-weather-2018/,/military-life/2017-tough-veterans-organizations-heres-weather-2018/,301
/2017-tough-veterans-organizations-heres-weather-2018/,/military-life/2017-tough-veterans-organizations-heres-weather-2018/,301
/2018-sfc-alwyn-cashe-still-hasnt-awarded-medal-honor/,/news/2018-sfc-alwyn-cashe-still-hasnt-awarded-medal-honor/,301
/2019-national-veteran-suicide-prevention-report/,/military-life/2019-national-veteran-suicide-prevention-report/,301
/21-habits-of-successful-military-generals-from-someone-who-knows-firsthand/,/news/21-habits-of-successful-military-generals-from-someone-who-knows-firsthand/,301
/21-saudi-officers-kicked-out/,/news/21-saudi-officers-kicked-out/,301
/23-literal-translations-military-graphics-actually-make-sense/,/culture/23-literal-translations-military-graphics-actually-make-sense/,301
/24-year-anniversary-dadt-gay-lesbian-veterans/,/news/24-year-anniversary-dadt-gay-lesbian-veterans/,301
/24-year-old-american-volunteer-killed-fighting-isis/,/news/24-year-old-american-volunteer-killed-fighting-isis/,301
/25-ways-trump-show-appreciation-military/,/news/25-ways-trump-show-appreciation-military/,301
/3-battle-scenes-hollywood-actually-got-right/,/culture/3-battle-scenes-hollywood-actually-got-right/,301
/3-military-behaviors-that-dont-work-in-the-civilian-workplace/,/military-life/3-military-behaviors-that-dont-work-in-the-civilian-workplace/,301
/3-things-make-service-members-great-storytellers/,/news/3-things-make-service-members-great-storytellers/,301
/3-u-s-military-veterans-reportedly-detained-trying-enter-war-torn-south-sudan/,/military-life/3-u-s-military-veterans-reportedly-detained-trying-enter-war-torn-south-sudan/,301
/3-u-s-military-veterans-reportedly-detained-trying-enter-war-torn-south-sudan/,/military-life/3-u-s-military-veterans-reportedly-detained-trying-enter-war-torn-south-sudan/,301
/3-ways-might-stifling-innovation-organization/,/news/3-ways-might-stifling-innovation-organization/,301
/30-books-mattis-thinks-every-good-leader-needs-read/,/news/30-books-mattis-thinks-every-good-leader-needs-read/,301
/30-books-mattis-thinks-every-good-leader-needs-read/,/news/30-books-mattis-thinks-every-good-leader-needs-read/,301
/30-issues-president-elect-trump-needs-address-military-veterans/,/news/30-issues-president-elect-trump-needs-address-military-veterans/,301
/31-veterans-headed-paralympics-team-usa/,/military-life/31-veterans-headed-paralympics-team-usa/,301
/3500-paratroopers-deploy-middle-east/,/news/3500-paratroopers-deploy-middle-east/,301
/3d-printed-guns-defense-distributed/,/tech-tactics/3d-printed-guns-defense-distributed/,301
/3rd-special-forces-group-gears-africa-deployment-less-year-returning-home/,/military-life/3rd-special-forces-group-gears-africa-deployment-less-year-returning-home/,301
/4-common-questions-va-benefits-answered-expert/,/military-life/4-common-questions-va-benefits-answered-expert/,301
/4-facts-student-veterans-might-surprise-shouldnt/,/military-life/4-facts-student-veterans-might-surprise-shouldnt/,301
/4-habits-that-lead-to-better-military-leadership/,/tech-tactics/4-habits-that-lead-to-better-military-leadership/,301
/4-lessons-us-vulnerability-15-wars-war/,/history/4-lessons-us-vulnerability-15-wars-war/,301
/4-myths-of-mission-command-everyone-should-reconsider/,/news/4-myths-of-mission-command-everyone-should-reconsider/,301
/4-reasons-i-am-resigning-my-commission-as-a-naval-officer/,/news/4-reasons-i-am-resigning-my-commission-as-a-naval-officer/,301
/4-retired-military-leaders-serve-trump-administration/,/military-life/4-retired-military-leaders-serve-trump-administration/,301
/4-soldiers-fought-to-their-deaths-the-niger-ambush/,/news/4-soldiers-fought-to-their-deaths-the-niger-ambush/,301
/4-things-veterans-hate-movies-get-wrong/,/culture/4-things-veterans-hate-movies-get-wrong/,301
/5-actual-reasons-youre-miserable-after-the-military/,/military-life/5-actual-reasons-youre-miserable-after-the-military/,301
/5-badass-quotes-marine-general-james-mattis/,/news/5-badass-quotes-marine-general-james-mattis/,301
/5-badass-schwarzkopf-quotes-in-honor-of-the-25th-gulf-war-anniversary/,/news/5-badass-schwarzkopf-quotes-in-honor-of-the-25th-gulf-war-anniversary/,301
/5-battlefield-innovations-that-came-from-the-rank-and-file-troops/,/history/5-battlefield-innovations-that-came-from-the-rank-and-file-troops/,301
